"name","latitude","longitude","grantee","grantNumber","delegateNo","centerType","programType","programDelegateName","programMainPhoneNumber","programAddress","programCity","programState","programZipCode","phone","address","city","state","zip","id"
"Decatur Child Development Center","33.2342834","-97.5861393","CDI HS/North Texas, TX
548 Santa Fe Dr
Weatherford, TX 76086-6503
(682)253-4230
","90CH010440","200","Early Head Start","Early Head Start","CDI HS/North Texas, TX","","548 Santa Fe Dr ","Weatherford","TX","76086-6503","(940) 629-4787","503 Business N Hwy 287","Decatur","TX","76234","85600"
"Wichita Falls Library","33.9102999","-98.48740909999998","North Texas Parent & Child Development, Inc
500 Flood Street
Wichita Falls, TX 76301-2838
(940)687-5437
","06CH7190","200","Early Head Start","Early Head Start","North Texas Parent & Child Development, Inc","","500 Flood Street ","Wichita Falls","TX","76301-2838","(940) 767-0868","600 11th St
Ste 205","Wichita Falls","TX","76301-4604","49753"
"Shelby County Home Base Office","31.7944451","-94.1825976","TRI-COUNTY COMMUNITY ACTION, INC
214 Nacogdoches St
Center, TX 75935-3854
(936)598-6315 - 17
","06CH7110","200","Early Head Start","Early Head Start","TRI-COUNTY COMMUNITY ACTION, INC","","214 Nacogdoches St ","Center","TX","75935-3854","(936) 598-6315","214 Nacogdoches St","Center","TX","75935-3854","41855"
"Magnolia EHS CCP","30.2193817","-95.5852549","Motivation Education & Training, Inc.
22551 Gene Campbell Blvd
New Caney, TX 77357-
(281)689-5544 - 223
","06HP0016","200","Early Head Start","Early Head Start","Motivation Education & Training, Inc.","","22551 Gene Campbell Blvd ","New Caney","TX","77357","(281) 259-4644","33023 Tamina Rd","Magnolia","TX","77354-2273","82109"
"Edwards Early Childhood Center","31.1034197","-97.3553187","Central Texas 4C, Inc.
504 N 5th St
Temple, TX 76501-3112
(254)778-0489 - 116
","06CH010149","200","Early Head Start","Early Head Start","Central Texas 4C, Inc.","","504 N 5th St ","Temple","TX","76501-3112","(254) 774-7370","1414 W Barton Ave","Temple","TX","76504-2489","57907"
"Gustavo Barrera, CDC","27.2296335","-98.13850530000002","Community Action Corporation of South Texas
204 East 1st Street
P.O. Drawer 1820
Alice, TX 78333-1820
(361)664-0145 - 2025
","06CH010327","200","Early Head Start","Early Head Start","Community Action Corporation of South Texas","","204 East 1st Street P.O. Drawer 1820","Alice","TX","78333-1820","(361) 325-2971","600 E Houston St
Ste B","Falfurrias","TX","78355-3315","82371"
"Scurry Community Services","32.7401398","-100.92770310000003","Scurry Community Services
2801 2nd St
Snyder, TX 79549-7555
(325)573-7403
","06CH10034","200","Early Head Start","Early Head Start","Scurry Community Services","","2801 2nd St ","Snyder","TX","79549-7555","(325) 573-7403","2800 2nd St","Snyder","TX","79549-7554","57400"
"Crystal City CDC","28.6896662","-99.8323249","AVANCE-SAN ANTONIO, INC
3133 General Hudnell Dr
Ste 130
San Antonio, TX 78226-2027
(210)220-1788 - 223
","06CH7059","200","Early Head Start","Early Head Start","AVANCE-SAN ANTONIO, INC","","3133 General Hudnell Dr Ste 130","San Antonio","TX","78226-2027","(830) 374-3700","1402 N 1st Ave","Crystal City","TX","78839-1931","37706"
"Upbring Early and Head Start El Campo","29.1850273","-96.2800887","Lutheran Social Service of the South, Inc.
8305 Cross Park Dr
Austin, TX 78754-5154
(512)638-5817
","06CH10129","200","Early Head Start","Early Head Start","Lutheran Social Service of the South, Inc.","","8305 Cross Park Dr ","Austin","TX","78754-5154","(979) 320-9000","1401 Mlk Blvd
Ste C","El Campo","TX","77437-5972","83024"
"Lil Eagles Child Development Center","30.7692713","-94.4270884","TRI-COUNTY COMMUNITY ACTION, INC
214 Nacogdoches St
Center, TX 75935-3854
(936)598-6315 - 17
","06CH7110","200","Early Head Start","Early Head Start","TRI-COUNTY COMMUNITY ACTION, INC","","214 Nacogdoches St ","Center","TX","75935-3854","(936) 598-6315","1201 Cardinal Dr","Woodville","TX","75979-5428","41860"
"Early Head Start at Garland","32.930133","-96.702606","HEADSTART OF GREATER DALLAS INC
3954 Gannon Lane
Dallas, TX 75237-2919
(972)283-6400
","06CH7106","200","Early Head Start","Early Head Start","HEADSTART OF GREATER DALLAS INC","","3954 Gannon Lane ","Dallas","TX","75237-2919","(469) 250-4300","4580 W Buckingham Rd","Garland","TX","75042-4514","40198"
"Foard County Neighborhood Center","33.9902547","-99.7211626","Rolling Plains Management Corporation
118 N 1st Street
Crowell, TX 79227-
(940)684-1571 - 230
","06HP0018","200","Early Head Start","Early Head Start","Rolling Plains Management Corporation","","118 N 1st Street ","Crowell","TX","79227","(940) 684-1224","424 Logan Street","Crowell","TX","79227","81177"
"Lost Creek Early Learning Center","29.5886006","-98.37849460000001","PARENT & CHILD INC.
1223 Brady Blvd
San Antonio, TX 78207-7926
(210)475-5006
","06CH7178","200","Early Head Start","Early Head Start","PARENT & CHILD INC.","","1223 Brady Blvd ","San Antonio","TX","78207-7926","","16352 Judson Rd","San Antonio","TX","78247-1401","52839"
"Wimberley Home-Based  Services EHS Program","29.97926","-98.10232150000002","Community Action, Inc. of Central Texas
101 Uhland Rd
Ste 107
San Marcos, TX 78666-6681
(512)396-3395 - 228
","06CH7072","200","Early Head Start","Early Head Start","Community Action, Inc. of Central Texas","","101 Uhland Rd Ste 107","San Marcos","TX","78666-6681","(1) 512-396","RR 12 and CR 1492","Wimberley","TX","78676","35085"
"Lillie Belle Towsend CDC Early Head Start","29.866324","-97.94674020000002","Community Action, Inc. of Central Texas
101 Uhland Rd
Ste 107
San Marcos, TX 78666-6681
(512)396-3395 - 228
","06CH7072","200","Early Head Start","Early Head Start","Community Action, Inc. of Central Texas","","101 Uhland Rd Ste 107","San Marcos","TX","78666-6681","(1) 512-667","1506 S Interstate 35","San Marcos","TX","78666-6060","33703"
"Hal Rose Head Start","31.100908","-97.34665799999999","Central Texas 4C, Inc.
504 N 5th St
Temple, TX 76501-3112
(254)778-0489 - 116
","06CH010149","200","Early Head Start","Early Head Start","Central Texas 4C, Inc.","","504 N 5th St ","Temple","TX","76501-3112","(254) 899-1949","610 W Barton Ave","Temple","TX","76501-4236","57902"
"Wee Can Academy Grant East","32.654102","-96.774565","SER-Jobs for Progress National, Inc.
100 E Royal Lane, Suite 130
Irving, TX 75039-4219
(469)549-3638
","06HP0026","200","Early Head Start","Early Head Start","SER-Jobs for Progress National, Inc.","","100 E Royal Lane, Suite 130 ","Irving","TX","75039-4219","(972) 325-7979","2901 Morgan Dr","Dallas","TX","75241-6516","86867"
"New Horizon","29.708896","-95.49652600000002","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","200","Early Head Start","Early Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 779-4856","6565 Rookin St","Houston","TX","77074-5013","33768"
"Marble Falls Early Head Start","30.582066148182406","-98.28719223417664","OPPORTUNITIES FOR WILLIAMSON AND BURNET COUNTIES
604 High Tech Drive
Georgetown, TX 78626-
(512)763-1400 - 37
","06CH7173","200","Early Head Start","Early Head Start","OPPORTUNITIES FOR WILLIAMSON AND BURNET COUNTIES","","604 High Tech Drive ","Georgetown","TX","78626","(1) 830-693","700 Avenue T","Marble Falls","TX","78654-4842","49731"
"Mangum Educational Center","29.834718","-95.463277","AVANCE Houston, Inc.
4281 Dacoma St
Houston, TX 77092-8607
(713)812-0033
","06CH10133","200","Early Head Start","Early Head Start","AVANCE Houston, Inc.","","4281 Dacoma St ","Houston","TX","77092-8607","(713) 686-5228","4503 Mangum Rd","Houston","TX","77092-4325","57475"
"Angleton Head Start School","29.1709592","-95.43916289999999","Child Development Council of Brazoria County
651 West Miller Street
Angleton, TX 77515-5522
(979)849-1881 - 101
","06CH7143","200","Early Head Start","Early Head Start","Child Development Council of Brazoria County","","651 West Miller Street ","Angleton","TX","77515-5522","(979) 849-9261","651 W Miller St","Angleton","TX","77515-5522","44621"
"Day Early Head Start/Head Start","31.492431","-100.4520071","San Angelo Independent School District
2801 W. Loop 306 Ste A
San Angelo, TX 76904-
(325)947-3838 - 703
","06CH7116","201","Early Head Start","Early Head Start","San Angelo Independent School District","","2801 W. Loop 306 Ste A ","San Angelo","TX","76904","(325) 481-3395","3026 N Oakes St","San Angelo","TX","76903-2236","42846"
"Centro de Ninos","27.727081","-97.444908","NUECES COUNTY COMMUNITY ACTION AGENCY
101 South Padre Island Drive
Corpus Christi, TX 78405-4102
(361)883-7201
","06CH7090","200","Early Head Start","Early Head Start","NUECES COUNTY COMMUNITY ACTION AGENCY","","101 South Padre Island Drive ","Corpus Christi","TX","78405-4102","(361) 853-1602","1838 Frio St","Corpus Christi","TX","78417-3108","34726"
"Sabinal HS/EHS Center","29.3241285","-99.4712485","AVANCE-SAN ANTONIO, INC
3133 General Hudnell Dr
Ste 130
San Antonio, TX 78226-2027
(210)220-1788 - 223
","06CH7059","200","Early Head Start","Early Head Start","AVANCE-SAN ANTONIO, INC","","3133 General Hudnell Dr Ste 130","San Antonio","TX","78226-2027","(830) 988-2372","701 N Orange St","Sabinal","TX","78881","37704"
"Spring Branch","29.795943","-95.52895590000003","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","200","Early Head Start","Early Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 464-8401","9655 Long Point Rd","Houston","TX","77055-4251","33769"
"Las Colonias","28.6840865","-100.47107920000002","Kids Are First, Inc
2208 N 1st St
Carrizo Springs, TX 78834-2036
(830)876-9265
","06CH9980","200","Early Head Start","Early Head Start","Kids Are First, Inc","","2208 N 1st St ","Carrizo Springs","TX","78834-2036","(830) 758-0757","2494 El Indio Hwy","Eagle Pass","TX","78852-6615","58975"
"Los Indios Head Start/Early Head Start","26.05026","-97.74394999999998","NEIGHBORS IN NEED OF SERVICES, INC
402 West Robertson
San Benito, TX 78586-0047
(956)399-9944 - 305
","06CH7170","200","Early Head Start","Early Head Start","NEIGHBORS IN NEED OF SERVICES, INC","","402 West Robertson ","San Benito","TX","78586-0047","(956) 361-7476","Corner of 5th and Heywood","Los Indios","TX","78567","53874"
"Pampa Community Day Care Center","35.54","-100.95999990000001","REGION 16 EDUCATION SERVICE CENTER
5800 Bell St
Amarillo, TX 79109-6230
(806)677-5300
","06CH10104","200","Early Head Start","Early Head Start","REGION 16 EDUCATION SERVICE CENTER","","5800 Bell St ","Amarillo","TX","79109-6230","(806) 665-0735","PO Box 2432
1100 Gwendolen Avenue","Pampa","TX","79066-2432","57354"
"Seton Home","29.3880147","-98.4907587","City of San Antonio
106 S ST MARY'S ST, SUITE 700
SAN ANTONIO, TX 78205-3603
(210)206-5500
","06HP0019","200","Early Head Start","Early Head Start","City of San Antonio","","106 S ST MARY'S ST, SUITE 700 ","SAN ANTONIO","TX","78205-3603","(210) 533-3504","1115 Mission Rd","San Antonio","TX","78210-4505","86330"
"PCI Imperial Early Learning Center- Expansion","29.396478","-98.56237699999997","Parent Child Incorporated
1223 Brady Boulevard
San Antonio, TX 78207-7328
(210)475-5006
","06HP0001","200","Early Head Start","Early Head Start","Parent Child Incorporated","","1223 Brady Boulevard ","San Antonio","TX","78207-7328","","111 Imperial Blvd","San Antonio","TX","78226-1132","54801"
"Hal Rose Head Start","31.100614026381898","-97.34661508465575","Central Texas 4C, Inc.
504 N 5th St
Temple, TX 76501-3112
(254)778-0489 - 116
","06CH7189","200","Early Head Start","Early Head Start","Central Texas 4C, Inc.","","504 N 5th St ","Temple","TX","76501-3112","(254) 899-1949","610 W Barton Ave","Temple","TX","76501-4236","51405"
"LBJ Center","28.6904581","-100.48876849999999","Kids Are First, Inc
2208 N 1st St
Carrizo Springs, TX 78834-2036
(830)876-9265
","06CH9980","200","Early Head Start","Early Head Start","Kids Are First, Inc","","2208 N 1st St ","Carrizo Springs","TX","78834-2036","(830) 757-4425","590 Avenida Linares","Eagle Pass","TX","78852-6691","58971"
"Paducah Child Development Center","34.0135182","-100.2998611","Rolling Plains Management Corporation
118 N 1st Street
Crowell, TX 79227-
(940)684-1571 - 230
","06HP0018","200","Early Head Start","Early Head Start","Rolling Plains Management Corporation","","118 N 1st Street ","Crowell","TX","79227","(806) 492-3632","805 Richards","Paducah","TX","79248","81176"
"Lake Jackson Head Start School","29.017702","-95.42307089999997","Child Development Council of Brazoria County
651 West Miller Street
Angleton, TX 77515-5522
(979)849-1881 - 101
","06CH7143","200","Early Head Start","Early Head Start","Child Development Council of Brazoria County","","651 West Miller Street ","Angleton","TX","77515-5522","(979) 297-8018","303 Garland Dr","Lake Jackson","TX","77566-6238","44623"
"Fellowship of Purpose Early Childhood Learning Center","29.7897215","-95.1360086","Harris County Department of Education
6300 Irvington Blvd.
Houston, TX 77022-5618
(713)672-9343
","06HP0028","200","Early Head Start","Early Head Start","Harris County Department of Education","","6300 Irvington Blvd. ","Houston","TX","77022-5618","(281) 864-9099","846 Ashland Blvd","Channelview","TX","77530-2606","81962"
"EHS Child Development Center - Kelly","29.384743","-98.57096200000001","Avance-San Antonio, Inc.
3133 General Hudnell Dr
Ste 130
San Antonio, TX 78226-2027
(210)220-1788
","06CH7141","200","Early Head Start","Early Head Start","Avance-San Antonio, Inc.","","3133 General Hudnell Dr Ste 130","San Antonio","TX","78226-2027","(210) 432-2600","807 Buckner
Kelly Usa","San Antonio","TX","78226-2011","47192"
"Gragg HS/EHS CDC","32.765137607101124","-97.31034163624571","Child Care Associates
3000 E Belknap St
Fort Worth, TX 76111-4142
(817)838-8422 - 1500
","06CH10093","200","Early Head Start","Early Head Start","Child Care Associates","","3000 E Belknap St ","Fort Worth","TX","76111-4142","(817) 838-9131","2400 E 1st St","Fort Worth","TX","76111-1154","57309"
"Center for New Communities Family Learning Center @ Stafford","29.42182389171383","-98.57344829206545","Center for New Communities
1313 Guadalupe St
Ste 200
San Antonio, TX 78207-5555
(210)314-3200
","06CH7186","200","Early Head Start","Early Head Start","Center for New Communities","","1313 Guadalupe St Ste 200","San Antonio","TX","78207-5555","(210) 314-3200","611 SW 36th St","San Antonio","TX","78237-2607","52375"
"Turner Child Development Center","34.2974806","-99.7376805","Rolling Plains Management Corporation
118 N 1st Street
Crowell, TX 79227-
(940)684-1571 - 230
","06HP0018","200","Early Head Start","Early Head Start","Rolling Plains Management Corporation","","118 N 1st Street ","Crowell","TX","79227","(940) 663-6823","219 E 3rd St","Quanah","TX","79252-4107","81178"
"Colorado ISD Early Head Start","32.4014111","-100.8475459","EDUCATION SERVICE CENTER REGION XIV
1850 HIGHWAY 351
ABILENE, TX 79601-4750
(325)675-8631
","06HP0024","200","Early Head Start","Early Head Start","EDUCATION SERVICE CENTER REGION XIV","","1850 HIGHWAY 351 ","ABILENE","TX","79601-4750","(325) 675-8631","1244 E 10th St","Colorado City","TX","79512-5314","54903"
"Kids of the Neighborhood HS","27.758117","-97.41215799999998","NUECES COUNTY COMMUNITY ACTION AGENCY
101 South Padre Island Drive
Corpus Christi, TX 78405-4102
(361)883-7201
","06CH7090","200","Early Head Start","Early Head Start","NUECES COUNTY COMMUNITY ACTION AGENCY","","101 South Padre Island Drive ","Corpus Christi","TX","78405-4102","(361) 882-9850","126 Watson St","Corpus Christi","TX","78415-4334","34727"
"Kountze EHS","30.3633891","-94.3064729","Motivation Education & Training, Inc.
22551 Gene Campbell Blvd
New Caney, TX 77357-
(281)689-5544 - 223
","06HP0016","200","Early Head Start","Early Head Start","Motivation Education & Training, Inc.","","22551 Gene Campbell Blvd ","New Caney","TX","77357","(409) 246-8401","153 Maplewood St","Kountze","TX","77625-8053","82106"
"Taft Child Development Center","27.9756676","-97.40437939999998","Community Action Corporation of South Texas
204 East 1st Street
P.O. Drawer 1820
Alice, TX 78333-1820
(361)664-0145 - 2025
","06CH010327","200","Early Head Start","Early Head Start","Community Action Corporation of South Texas","","204 East 1st Street P.O. Drawer 1820","Alice","TX","78333-1820","(361) 528-3805","414 Bravo St","Taft","TX","78390-2230","82403"
"Jeff Dock Child Development Center","30.176426","-96.92773799999998","CEN-TEX FAMILY SERVICES INC
2402 N. Main Street
BASTROP, TX 78602-
(512)303-7737
","06CH7105","200","Early Head Start","Early Head Start","CEN-TEX FAMILY SERVICES INC","","2402 N. Main Street ","BASTROP","TX","78602","(979) 542-9512","1010 E Industry St","Giddings","TX","78942-4306","39810"
"Crockett Head Start","31.3023578","-95.4543337","Greater East Texas Community Action Program
1902 Old Tyler Rd
Nacogdoches, TX 75964-3246
(936)564-1142
","06CH010287","200","Early Head Start","Early Head Start","Greater East Texas Community Action Program","","1902 Old Tyler Rd ","Nacogdoches","TX","75964-3246","(936) 544-8995","435 Texas Ave
P.O. Box 822","Crockett","TX","75835-2900","81709"
"Early Head Start Home School","29.0557655","-95.5715876","Child Development Council of Brazoria County
651 West Miller Street
Angleton, TX 77515-5522
(979)849-1881 - 101
","06CH7143","200","Early Head Start","Early Head Start","Child Development Council of Brazoria County","","651 West Miller Street ","Angleton","TX","77515-5522","(979) 849-1881","120 West Pleasant St","Brazoria","TX","77422-7377","47429"
"YWCA Olga Madrid","29.418419318340888","-98.54873142883605","City of San Antonio
106 S ST MARY'S ST, SUITE 700
SAN ANTONIO, TX 78205-3603
(210)206-5500
","06HP0019","200","Early Head Start","Early Head Start","City of San Antonio","","106 S ST MARY'S ST, SUITE 700 ","SAN ANTONIO","TX","78205-3603","(210) 433-9922","503 Castroville Rd","San Antonio","TX","78237-3131","58012"
"Batesville HS/EHS Center","28.7901792","-99.64110319999998","AVANCE-SAN ANTONIO, INC
3133 General Hudnell Dr
Ste 130
San Antonio, TX 78226-2027
(210)220-1788 - 223
","06CH7059","200","Early Head Start","Early Head Start","AVANCE-SAN ANTONIO, INC","","3133 General Hudnell Dr Ste 130","San Antonio","TX","78226-2027","(830) 376-4420","437 S FM 117","Batesville","TX","78829","49438"
"ChildCare Network #196","32.684462","-97.01079770000001","CHILDCAREGROUP
1420 W MOCKINGBIRD LANE
SUITE 300
DALLAS, TX 75247-4973
(214)630-7911
","06HP0007","200","Early Head Start","Early Head Start","CHILDCAREGROUP","","1420 W MOCKINGBIRD LANE SUITE 300","DALLAS","TX","75247-4973","(972) 363-5800","3574 S Carrier Pkwy","Grand Prairie","TX","75052-6462","55180"
"La Pryor HS/EHS Center","28.94134812562114","-99.84454273226316","AVANCE-SAN ANTONIO, INC
3133 General Hudnell Dr
Ste 130
San Antonio, TX 78226-2027
(210)220-1788 - 223
","06CH7059","200","Early Head Start","Early Head Start","AVANCE-SAN ANTONIO, INC","","3133 General Hudnell Dr Ste 130","San Antonio","TX","78226-2027","(830) 365-4104","218 Grant St","La Pryor","TX","78872","85245"
"Early Head Start S.T.E.M and Arlington Teen Program - Arlington ISD","32.771315","-97.30363","Child Care Associates
3000 E Belknap St
Fort Worth, TX 76111-4142
(817)838-8422 - 1500
","06CH10093","200","Early Head Start","Early Head Start","Child Care Associates","","3000 E Belknap St ","Fort Worth","TX","76111-4142","(817) 838-8422","3000 E Belknap St","Fort Worth","TX","76111-4142","57312"
"Perrin Learning Center","33.7107635","-96.65297570000001","REGION 10 EDUCATION SERVICE CENTER
400 East Spring Valley Road
Richardson, TX 75081-
(972)348-1600
","06CH7092","200","Early Head Start","Early Head Start","REGION 10 EDUCATION SERVICE CENTER","","400 East Spring Valley Road ","Richardson","TX","75081","(903) 891-6551","81 Vandenburg Dr","Denison","TX","75020-8343","35208"
