Operation #,Agency Number,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency,Infant,Toddler,Preschool,School
"841961","","Baby Day Care","12436 PASEO LARGO CIR ","EL PASO","TX","79928","EL PASO",915-856-6298,"Licensed Child-Care Home","Full Permit",10/6/2004,12,"medina-sandra@sbcglobal.net","256620","","Y","Y","Y","Y"
"813231","","Babys n Toddlers","1720 JERUSALEM DR ","ROUND ROCK","TX","78664","TRAVIS",512-990-7017,"Licensed Child-Care Home","Full Permit",5/10/2002,12,"elizabethlister@sbcglobal.net","198371","","Y","Y","Y","Y"
"410820","","Balderrama Day Care","9456 LE SABRE LN ","EL PASO","TX","79907","EL PASO",915-859-0972,"Licensed Child-Care Home","Full Permit",4/12/1992,12,"doloresbalderrama@yahoo.com","122660","","Y","Y","Y","Y"
"1546622","","Bambini Daycare","806 E PARKER RD ","HOUSTON","TX","77076","HARRIS",832-506-2744,"Licensed Child-Care Home","Full Permit",1/29/2015,12,"","1154723","","Y","Y","Y","Y"
"1454588","","Bambino Day Care","163 ANITA CIR ","EL PASO","TX","79905","EL PASO",915-422-2857,"Licensed Child-Care Home","Full Permit",12/10/2012,12,"","1035829","","Y","Y","Y","Y"
"1547289","","Barbara's Learning Center","9431 SPIRALWOOD LN ","HOUSTON","TX","77086","HARRIS",281-433-1068,"Licensed Child-Care Home","Full Permit",2/17/2015,12,"","1155315","","Y","Y","Y","Y"
"1511591","","Barnyard Babes Daycare","1321 S 15TH ST ","TEMPLE","TX","76504","BELL",254-624-3409,"Licensed Child-Care Home","Full Permit",5/23/2014,12,"mafarley01@yahoo.com","1107371","","Y","Y","Y","Y"
"1591796","","Baytown ChildCare/ Vanessa's Home Daycare","7902 STILL WATER ST ","BAYTOWN","TX","77521","HARRIS",281-838-1241,"Licensed Child-Care Home","Full Permit",3/28/2016,12,"","1207158","","Y","Y","Y","Y"
"516668","","Bear Hugs Child Care","10851 MOCKINGBIRD HL ","FRANKSTON","TX","75763","HENDERSON",903-876-3351,"Licensed Child-Care Home","Full Permit",2/27/1996,12,"bndmorris@embarqmail.com","142029","","Y","Y","Y","Y"
"811626","","Beas Day Care","1716 ANDY WILLIAMS PL ","EL PASO","TX","79936","EL PASO",915-855-3324,"Licensed Child-Care Home","Full Permit",3/20/2002,12,"","194948","","Y","Y","Y","Y"
"886196","","Bebes Daycare","701 MONTOYA OAK LN ","EL PASO","TX","79932","EL PASO",915-587-9597,"Licensed Child-Care Home","Full Permit",5/15/2008,12,"","339009","","Y","Y","Y","Y"
"871700","","Becky's Baby Barn","1809 S REYNOLDS ","RIO HONDO","TX","78583","CAMERON",956-345-3664,"Licensed Child-Care Home","Full Permit",11/15/2007,12,"","314187","","Y","Y","Y","Y"
"1596216","","Beckys House","506 TATER BROWN RD ","RED OAK","TX","75154","ELLIS",972-740-0593,"Licensed Child-Care Home","Full Permit",6/30/2016,12,"","1211960","","Y","Y","Y","Y"
"1541443","","Belinda Gail Murrell","1920 WILLIAMSBURG DR ","PLANO","TX","75074","COLLIN",469-254-8405,"Licensed Child-Care Home","Full Permit",2/27/2015,12,"belindagmurrell@yahoo.com","1147770","","Y","Y","Y","Y"
"1556517","","Benita Castro","25411 TERRAIN PARK DR ","SPRING","TX","77373","HARRIS",281-734-2688,"Licensed Child-Care Home","Full Permit",11/25/2014,12,"","1167086","","Y","Y","Y","Y"
"1539304","","Bethel's Learning Center","11631 GLENWOLDE DR ","HOUSTON","TX","77099","HARRIS",281-568-4050,"Licensed Child-Care Home","Full Permit",1/6/2015,12,"","1144387","","Y","Y","Y","Y"
"1542583","","Betty's Play House","13031 NEWBROOK DR ","HOUSTON","TX","77072","HARRIS",281-306-4441,"Licensed Child-Care Home","Full Permit",7/20/2015,12,"","1149486","","Y","Y","Y","Y"
"909345","","Bettye L Crane","2720 CARTEN ST ","FORT WORTH","TX","76112","TARRANT",817-457-6266,"Licensed Child-Care Home","Full Permit",11/25/2008,12,"","370692","","Y","Y","Y","Y"
"827348","","Bettys Learning Center","21647 F M 2767 ","WINONA","TX","75792","SMITH",903-566-4386,"Licensed Child-Care Home","Full Permit",10/6/2003,12,"blcabc@hotmail.com","224942","","Y","Y","Y","Y"
"1142686","","Beverley Browne","9423 WESTACRE PL ","HOUSTON","TX","77083","FORT BEND",281-809-8005,"Licensed Child-Care Home","Full Permit",10/27/2010,12,"beverleyb519@gmail.com","656188","","Y","Y","Y","Y"
"226035","","Beverlys Day Care","196 TOKIO TRCE ","WEST","TX","76691","MCLENNAN",254-855-5273,"Licensed Child-Care Home","Full Permit",5/30/1995,12,"beastwood@aol.com","103276","","Y","Y","Y","Y"
"895738","","Blancas Learning Center","13701 PASEO ALEGRE AVE ","EL PASO","TX","79928","EL PASO",915-852-3684,"Licensed Child-Care Home","Full Permit",1/23/2009,12,"","355121","","Y","Y","Y","Y"
"555878","","Blands Day Care","7364 DUXBURY DR ","EL PASO","TX","79912","EL PASO",915-833-2921,"Licensed Child-Care Home","Full Permit",8/13/2001,10,"","170766","","Y","Y","Y","Y"
"1623380","","Blessed Hands Daycare","13422 GALENA CREEK DR ","HOUSTON","TX","77086","HARRIS",832-723-9424,"Licensed Child-Care Home","Full Permit",10/4/2016,12,"pamartin826@aol.com","1241344","","Y","Y","Y","Y"
"1596056","","Blessings Beyond","4804 FILEY CV ","AUSTIN","TX","78721","TRAVIS",512-351-9478,"Licensed Child-Care Home","Full Permit",3/31/2016,12,"helenmc1@att.net","1211839","","Y","Y","Y","N"
"885788","","Blues Day Care","2137 NOVIEMBRE DR ","EL PASO","TX","79935","EL PASO",915-219-0812,"Licensed Child-Care Home","Full Permit",6/6/2008,12,"bluesdaycare@yahoo.com","338110","","Y","Y","Y","Y"
"1540263","","Bobo's Child Care","7240 WILD WING DR ","FORT WORTH","TX","76120","TARRANT",817-507-3455,"Licensed Child-Care Home","Full Permit",7/27/2015,12,"boboschildcare@gmail.com","1145938","","Y","Y","Y","Y"
"522531","","Bonnies Day Care","7928 CANDLEWOOD AVE ","EL PASO","TX","79925","EL PASO",915-593-3547,"Licensed Child-Care Home","Full Permit",12/12/1996,12,"floresrm47@yahoo.com","146454","","Y","Y","Y","Y"
"1496800","","Briannies Daycare & Learning Center","101 LOBO LOOP ","LAREDO","TX","78045","WEBB",956-628-6646,"Licensed Child-Care Home","Full Permit",8/29/2013,12,"brianniesdaycareandlearningcenter@hotmail.com","1089965","","Y","Y","Y","Y"
"1338706","","Bright Futures","3920 MIRANDA DR ","PARIS","TX","75462","LAMAR",903-905-3810,"Licensed Child-Care Home","Full Permit",1/11/2012,12,"slmarsters@yahoo.com","897628","","Y","Y","Y","Y"
"1578099","","Bright Mosaic","1922 N LOCUST ST ","DENTON","TX","76209","DENTON",940-536-3296,"Licensed Child-Care Home","Full Permit",3/11/2016,6,"info@brightmosaic.org","1191685","","N","N","Y","Y"
"854271","","Bright Stars Home Daycare","810 TOMAS GRANILLO ST ","YSLETA DEL SUR PUEBL","TX","79927","EL PASO",915-873-4038,"Licensed Child-Care Home","Full Permit",5/17/2006,12,"brightstarsdaycare810@yahoo.com","282973","","Y","Y","Y","Y"
"1428146","","Brooke's Learning Corner","8431 BIGWOOD ST ","HOUSTON","TX","77078","HARRIS",713-631-2853,"Licensed Child-Care Home","Full Permit",10/16/2012,12,"","1002448","","Y","Y","Y","Y"
"887933","","Building Blocks","1812 REY DR ","WACO","TX","76712","MCLENNAN",254-420-1655,"Licensed Child-Care Home","Full Permit",6/26/2008,12,"buildingblocks10@yahoo.com","342460","","Y","Y","Y","Y"
"1406306","","Building Blocks","901 S BURDETTE AVE ","SHERMAN","TX","75090","GRAYSON",903-870-0820,"Licensed Child-Care Home","Full Permit",7/30/2012,12,"","976808","","Y","Y","Y","Y"
"861782","","Bunny Hop Daycare","8108 CUTTER HILL AVE ","FORT WORTH","TX","76134","TARRANT",817-293-4347,"Licensed Child-Care Home","Full Permit",7/12/2006,12,"","297658","","Y","Y","Y","Y"
"1536464","","Busy Bees Dayhome","2207 WAYSIDE DR ","BRYAN","TX","77802","BRAZOS",979-571-9328,"Licensed Child-Care Home","Full Permit",1/28/2015,12,"kmuegge22@gmail.com","1140329","","Y","Y","Y","N"
"1571875","","Busy Bees Early Learning Center","7709 LABRADOR DR ","ARLINGTON","TX","76002","TARRANT",682-222-7576,"Licensed Child-Care Home","Full Permit",3/17/2016,12,"burrell817@gmail.com","1185533","","Y","Y","Y","Y"
"1048106","","Butterfly Day Care","1645 HENRI DUNANT WAY ","EL PASO","TX","79936","EL PASO",915-319-2747,"Licensed Child-Care Home","Full Permit",3/16/2010,12,"merkster26@yahoo.com","539228","","Y","Y","Y","Y"
"1541845","","Butterfly Kisses Child Care","2509 ITASCA ST ","PLAINVIEW","TX","79072","HALE",806-293-4444,"Licensed Child-Care Home","Full Permit",2/26/2015,12,"stacybrace@yahoo.com","1148506","","Y","Y","Y","Y"
"877502","","Butterfly Kisses Learning Center","P.O. Box 743 42 Zarate Street","La Grulla","TX","78548","STARR",956-488-6749,"Licensed Child-Care Home","Full Permit",8/21/2008,12,"ttvvaarr@yahoo.com","322170","","Y","Y","Y","Y"
"1529641","","Buttons 'N' Bows Quality Care","17338 INDIGO MIST CT ","HOUSTON","TX","77084","HARRIS",346-333-6389,"Licensed Child-Care Home","Full Permit",12/23/2014,12,"","1130593","","Y","Y","Y","Y"
"1573576","","Buzzing Busy Bees Learning Academy","700 RAIN LILY DR ","DESOTO","TX","75115","DALLAS",469-297-4533,"Licensed Child-Care Home","Full Permit",12/17/2015,12,"","1187136","","Y","Y","Y","Y"
"1355926","","C and B Inspirational Center","6319 BERKRIDGE DR ","HOUSTON","TX","77053","FORT BEND",281-438-6257,"Licensed Child-Care Home","Full Permit",4/27/2012,12,"","918408","","Y","Y","Y","Y"
"1532903","","Camdyn's C.L.A.Y. World","4403 SMOOTH OAK LN ","HOUSTON","TX","77053","HARRIS",832-714-6812,"Licensed Child-Care Home","Full Permit",2/11/2015,12,"","1135007","","Y","Y","Y","Y"
"1522091","","Candace Long","2541 RIVERS EDGE DR ","FORT WORTH","TX","76118","TARRANT",817-595-2120,"Licensed Child-Care Home","Full Permit",4/15/2014,12,"","1120292","","Y","Y","Y","Y"
"544101","","Cantu's Day Care","3880 FM 490 ","RAYMONDVILLE","TX","78580","WILLACY",956-642-3763,"Licensed Child-Care Home","Full Permit",12/13/1999,12,"","161622","","Y","Y","Y","Y"
"858716","","Care a Lot","609 ROCKY SPRINGS DR ","MCKINNEY","TX","75071","COLLIN",214-557-9254,"Licensed Child-Care Home","Full Permit",4/27/2006,12,"carealotkids@yahoo.com","291845","","Y","Y","Y","Y"
"856869","","Carlas Affordable Childcare","2909 GOLDEN MEADOW AVE ","MESQUITE","TX","75181","DALLAS",972-285-7281,"Licensed Child-Care Home","Full Permit",11/3/2006,12,"carla.arterberry@yahoo.com","288400","","Y","Y","Y","Y"
"1294207","","Carols Childcare","18125 BASKETFLOWER BND ","ELGIN","TX","78621","TRAVIS",512-285-6004,"Licensed Child-Care Home","Full Permit",9/30/2011,12,"cbroughton1@live.com","841454","","Y","Y","Y","Y"
"861629","","Carolyn May","6303 FM 678 ","GAINESVILLE","TX","76240","COOKE",940-665-7277,"Licensed Child-Care Home","Full Permit",1/3/2007,12,"","297343","","Y","Y","Y","Y"
"510629","","Carrusel Day Care","10925 BOB STONE DR ","EL PASO","TX","79936","EL PASO",915-593-0586,"Licensed Child-Care Home","Full Permit",3/5/1995,12,"","137706","","Y","Y","Y","Y"
"1546344","","Casa de los Ninos Montessori","501 MEDINA ST ","EL PASO","TX","79905","EL PASO",915-774-0362,"Licensed Child-Care Home","Full Permit",2/24/2015,12,"marthagon16@yahoo.com","1154465","","N","Y","Y","Y"
"1545582","","Cassandra's Place","908 WOODRIDGE DR ","DESOTO","TX","75115","DALLAS",214-684-0898,"Licensed Child-Care Home","Full Permit",4/8/2015,12,"CASSANDRASCHILDCARE@YAHOO.COM","1153430","","Y","Y","Y","Y"
"1130606","","Castillo Family Day Care","8010 SWEETSTONE BLUFF LN ","CYPRESS","TX","77433","HARRIS",281-550-8322,"Licensed Child-Care Home","Full Permit",9/24/2010,12,"","640988","","Y","Y","Y","Y"
"815733","","Castillo's Day Care","6612 OLIVAREZ COL VILLA SAN M ","PHARR","TX","78577","HIDALGO",956-702-9137,"Licensed Child-Care Home","Full Permit",12/17/2002,12,"","203094","","Y","Y","Y","Y"
"810006","","Castillo's Group Home","200 S 10TH ST ","HIDALGO","TX","78557","HIDALGO",956-843-7764,"Licensed Child-Care Home","Full Permit",9/5/2002,12,"cast1020@gmail.com","190618","","Y","Y","Y","Y"
"1358786","","Cats Kids","9351 COUNTY ROAD 393 ","JEWETT","TX","75846","LEON",903-626-5225,"Licensed Child-Care Home","Full Permit",8/23/2011,12,"","921668","","Y","Y","Y","Y"
"1631705","","Cedar Hill Family DayCare","729 GIBSON ST ","CEDAR HILL","TX","75104","DALLAS",646-489-7522,"Licensed Child-Care Home","Initial",11/10/2016,12,"","1252291","","Y","Y","Y","Y"
"557897","","Cencys Day Care","214 RIO TINTO DR ","EL PASO","TX","79912","EL PASO",915-581-1304,"Licensed Child-Care Home","Full Permit",6/4/2001,12,"","172324","","Y","Y","Y","Y"
"1555913","","Charlie's Little Angels","412 S INSPIRATION RD ","MISSION","TX","78574","HIDALGO",956-519-4530,"Licensed Child-Care Home","Full Permit",7/6/2015,12,"pvaldez904@gmail.com","1166123","","Y","Y","Y","Y"
