"name","latitude","longitude","grantee","grantNumber","delegateNo","centerType","programType","programDelegateName","programMainPhoneNumber","programAddress","programCity","programState","programZipCode","phone","address","city","state","zip","id"
"Trinity Head Start","28.811906","-96.99306899999999","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(361) 579-0010","1104 E Trinity St","Victoria","TX","77901-5441","30785"
"Waelder Head Start","29.6959592","-97.30091299999998","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(830) 788-7450","301 North Avenue C","Waelder","TX","78959","30786"
"Yoakum Head Start","29.28595229999999","-97.15927569999997","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(361) 293-6653","708 Boyle St","Yoakum","TX","77995-2512","30787"
"Cuero Head Start","29.1029214","-97.28659700000003","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(361) 275-8471","312 Dunn St","Cuero","TX","77954-3430","30789"
"Woodson Early Childhood Center","32.459395","-99.72730899999999","Abilene Independent School District
241 Pine St
Attention: Federal Programs-Head Start
Abilene, TX 79601-5911
(325)671-4569 - 7720
","06CH7058","000","Head Start","Head Start","Abilene Independent School District","","241 Pine St Attention: Federal Programs-Head Start","Abilene","TX","79601-5911","(325) 671-4594","520 N 9th St","Abilene","TX","79601-4329","30793"
"Locust Early Childhood Center","32.439507","-99.73024299999997","Abilene Independent School District
241 Pine St
Attention: Federal Programs-Head Start
Abilene, TX 79601-5911
(325)671-4569 - 7720
","06CH7058","000","Head Start","Head Start","Abilene Independent School District","","241 Pine St Attention: Federal Programs-Head Start","Abilene","TX","79601-5911","(325) 671-4569","625 S 8th St","Abilene","TX","79602-2711","30794"
"Sabinal HS/EHS Center","29.3241285","-99.4712485","AVANCE-SAN ANTONIO, INC
3133 General Hudnell Dr
Ste 130
San Antonio, TX 78226-2027
(210)220-1788 - 223
","06CH7059","000","Head Start","Head Start","AVANCE-SAN ANTONIO, INC","","3133 General Hudnell Dr Ste 130","San Antonio","TX","78226-2027","(830) 988-2372","701 N Orange St","Sabinal","TX","78881","30805"
"Brackett ISD","29.3181331","-100.41230760000002","AVANCE-SAN ANTONIO, INC
3133 General Hudnell Dr
Ste 130
San Antonio, TX 78226-2027
(210)220-1788 - 223
","06CH7059","000","Head Start","Head Start","AVANCE-SAN ANTONIO, INC","","3133 General Hudnell Dr Ste 130","San Antonio","TX","78226-2027","(830) 563-2492","400 Ann St","Brackettville","TX","78832","30806"
"Uvalde Head Start","29.209909280826935","-99.78928408465578","AVANCE-SAN ANTONIO, INC
3133 General Hudnell Dr
Ste 130
San Antonio, TX 78226-2027
(210)220-1788 - 223
","06CH7059","000","Head Start","Head Start","AVANCE-SAN ANTONIO, INC","","3133 General Hudnell Dr Ste 130","San Antonio","TX","78226-2027","(830) 278-3610","217 W Nopal St","Uvalde","TX","78801-5224","30808"
"Madison","29.455646","-98.55162789999997","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 736-3323","2900 W Woodlawn Ave","San Antonio","TX","78228-5014","33517"
"Carroll","29.4068868","-98.41311029999997","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 333-1130","463 Holmgreen Rd","San Antonio","TX","78220-3319","33519"
"JT Brackenridge","29.4182525","-98.51338770000001","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 224-4916","1214 Guadalupe St","San Antonio","TX","78207-5517","33520"
"Cardenas Early Childhood Center","29.4392459","-98.55308389999999","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 444-7826","3300 Ruiz St","San Antonio","TX","78228-6226","33529"
"Carvajal","29.413682","-98.54139699999996","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 432-6921","225 Arizona Ave","San Antonio","TX","78207-6411","33561"
"De Zavala Elementary","29.4226756","-98.5247187","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 226-8563","2311 San Luis St","San Antonio","TX","78207-4736","33562"
"Fenwick Elementary","29.448383","-98.54115000000002","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 732-4411","1930 Waverly Ave","San Antonio","TX","78228-5342","33563"
"Foster","29.360103","-98.44411100000002","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 333-1771","6718 Pecan Valley Dr","San Antonio","TX","78223-3120","33564"
"Knox","29.393649","-98.50082900000001","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 533-5521","302 Tipton Ave","San Antonio","TX","78204-2739","33568"
"Schenck Elementary","29.361797","-98.43648100000001","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 333-0611","101 Kate Schenck Ave","San Antonio","TX","78223-3305","33570"
"Stafford Elementary School","29.4210389","-98.57319080000002","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 444-7903","611 SW 36th St","San Antonio","TX","78237-2607","33571"
"Tynan","29.426467","-98.44637499999999","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 226-5453","925 Gulf","San Antonio","TX","78202-3266","33572"
"Neal","29.483414","-98.51464199999998","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 735-0791","3407 Capitol Ave","San Antonio","TX","78201-2503","33574"
"Highland Hills","29.378612","-98.441575","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 534-6461","734 Glamis Ave","San Antonio","TX","78223-1534","33575"
"Bowden Elementary","29.432074","-98.46948989999999","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 226-3601","515 Willow","San Antonio","TX","78202-1255","33582"
"Beacon Hill","29.450093","-98.51388700000001","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 735-6511","1411 W Ashby Pl","San Antonio","TX","78201-6337","33590"
"Cotton","29.46103129253755","-98.50733486508182","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 733-8641","1616 Blanco Rd","San Antonio","TX","78212-2720","33592"
"Forbes","29.372391","-98.45160399999997","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 534-2651","2630 Sally Gay Dr","San Antonio","TX","78223-2240","33595"
"Herff","29.408692268455628","-98.47285022275389","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 533-7500","996 S Hackberry","San Antonio","TX","78210-1956","33597"
"Hillcrest","29.387427","-98.505023","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 534-3903","211 W Malone Ave","San Antonio","TX","78214-1024","33598"
"Hirsch","29.400986","-98.3988","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 648-1821","4826 Seabreeze Dr","San Antonio","TX","78220-4809","33599"
"Huppertz","29.454997","-98.57426499999997","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 433-3141","247 Bangor Dr","San Antonio","TX","78228-4727","33600"
"Maverick","29.477801","-98.5474289","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 735-0791","107 Raleigh Pl","San Antonio","TX","78201-3113","33604"
"Smith","29.411285","-98.45746099999997","City of San Antonio
106 S. St. Mary's Street, 7th Floor
San Antonio, TX 78205-
(210)206-5500
","06CH7074","000","Head Start","Head Start","City of San Antonio","","106 S. St. Mary's Street, 7th Floor ","San Antonio","TX","78205","(210) 533-1041","823 S Gevers St","San Antonio","TX","78203-1841","33606"
"Hitchcock ISD ""Kids First"" Head Start","29.3639","-95.02810299999999","Hitchcock Independent School District
5701 FM 2004 Road
Hitchcock, TX 77563-1603
(409)316-6541
","06CH7066","000","Head Start","Head Start","Hitchcock Independent School District","","5701 FM 2004 Road ","Hitchcock","TX","77563-1603","(409) 316-6541","5701 FM 2004 Rd","Hitchcock","TX","77563-1603","33660"
"LAMAR COUNTY HEAD START","33.6735133","-95.55110819999999","PARIS INDEPENDENT SCHOOL DISTRICT
1350 NE 6th Street
Paris, TX 75460-2626
(903)737-7469 - 2601
","06CH7084","000","Head Start","Head Start","PARIS INDEPENDENT SCHOOL DISTRICT","","1350 NE 6th Street ","Paris","TX","75460-2626","(903) 737-7469","1350 6th St NE","Paris","TX","75460-2626","33661"
"AARON PARKER ELEMENTARY SCHOOL","33.772479","-95.54056700000001","PARIS INDEPENDENT SCHOOL DISTRICT
1350 NE 6th Street
Paris, TX 75460-2626
(903)737-7469 - 2601
","06CH7084","000","Head Start","Head Start","PARIS INDEPENDENT SCHOOL DISTRICT","","1350 NE 6th Street ","Paris","TX","75460-2626","(903) 732-3066","98 County Road 44112","Powderly","TX","75473-3558","33662"
"Bonham Prekindergarten School","29.8617654","-97.93899979999998","Community Action, Inc. of Central Texas
101 Uhland Road, Suite 107
San Marcos, TX 78666-
(512)396-3395 - 228
","06CH7072","000","Head Start","Head Start","Community Action, Inc. of Central Texas","","101 Uhland Road, Suite 107 ","San Marcos","TX","78666","(1) 512-393","1225 N State Highway 123","San Marcos","TX","78666-7732","33687"
"Lockhart Child Development Center","29.8823","-97.70338700000002","Community Action, Inc. of Central Texas
101 Uhland Road, Suite 107
San Marcos, TX 78666-
(512)396-3395 - 228
","06CH7072","000","Head Start","Head Start","Community Action, Inc. of Central Texas","","101 Uhland Road, Suite 107 ","San Marcos","TX","78666","(1) 512-398","1808 W San Antonio St","Lockhart","TX","78644-2400","33689"
"Henry Bush Child Development Center","29.8723781","-97.9369352","Community Action, Inc. of Central Texas
101 Uhland Road, Suite 107
San Marcos, TX 78666-
(512)396-3395 - 228
","06CH7072","000","Head Start","Head Start","Community Action, Inc. of Central Texas","","101 Uhland Road, Suite 107 ","San Marcos","TX","78666","(1) 512-396","722 McKie St","San Marcos","TX","78666-6836","33690"
"Hemphill Child Development Center HS and EHS/Federal Interest HS building","29.970693","-97.856177","Community Action, Inc. of Central Texas
101 Uhland Road, Suite 107
San Marcos, TX 78666-
(512)396-3395 - 228
","06CH7072","000","Head Start","Head Start","Community Action, Inc. of Central Texas","","101 Uhland Road, Suite 107 ","San Marcos","TX","78666","(512) 268-5305","3995 E FM 150
Bldg A","Kyle","TX","78640-6207","33691"
"Pre-K Center at Carver Kindergarten","29.888294","-97.66488800000002","Community Action, Inc. of Central Texas
101 Uhland Road, Suite 107
San Marcos, TX 78666-
(512)396-3395 - 228
","06CH7072","000","Head Start","Head Start","Community Action, Inc. of Central Texas","","101 Uhland Road, Suite 107 ","San Marcos","TX","78666","(512) 398-0060","371 Carver St","Lockhart","TX","78644-1800","33692"
"Luling Child Development Center Head Start and EHS (109 E. Newton)","29.6869713","-97.65503719999998","Community Action, Inc. of Central Texas
101 Uhland Road, Suite 107
San Marcos, TX 78666-
(512)396-3395 - 228
","06CH7072","000","Head Start","Head Start","Community Action, Inc. of Central Texas","","101 Uhland Road, Suite 107 ","San Marcos","TX","78666","(1) 830-875","104 W Newton St","Luling","TX","78648-1827","33693"
"Commerce Elementary","33.2016346","-95.8899457","GREENVILLE INDEPENDENT SCHOOL DISTRICT
2504 Carver St
Greenville, TX 75401-3620
(903)457-2680
","06CH7085","000","Head Start","Head Start","GREENVILLE INDEPENDENT SCHOOL DISTRICT","","2504 Carver St ","Greenville","TX","75401-3620","(903) 886-3757","2900 FM 3218","Commerce","TX","75428","33738"
"L. P. Waters  ECLC","33.139004","-96.13418100000001","GREENVILLE INDEPENDENT SCHOOL DISTRICT
2504 Carver St
Greenville, TX 75401-3620
(903)457-2680
","06CH7085","000","Head Start","Head Start","GREENVILLE INDEPENDENT SCHOOL DISTRICT","","2504 Carver St ","Greenville","TX","75401-3620","(903) 457-2680","2504 Carver St","Greenville","TX","75401-3620","33739"
"D.C Cannon Elem.","32.917958","-96.12939890000001","GREENVILLE INDEPENDENT SCHOOL DISTRICT
2504 Carver St
Greenville, TX 75401-3620
(903)457-2680
","06CH7085","000","Head Start","Head Start","GREENVILLE INDEPENDENT SCHOOL DISTRICT","","2504 Carver St ","Greenville","TX","75401-3620","(903) 356-4400","425 Panther Path","Quinlan","TX","75474-8945","33740"
"New Horizon","29.708896","-95.49652600000002","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 779-4856","6565 Rookin St","Houston","TX","77074-5013","33741"
"Robindell Private School","29.706878","-95.48281700000001","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 667-9895","5801 Dashwood Dr","Houston","TX","77081-5108","33742"
"Spring Branch","29.795943","-95.52895590000003","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 464-8401","9655 Long Point Rd","Houston","TX","77055-4251","33744"
"Benavidez Elementary","29.7164869","-95.4925331","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 778-3350","6262 Gulfton St","Houston","TX","77081-2306","33745"
"Klein","29.717406","-95.49490000000003","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 988-6265","6447 Prestwood Dr","Houston","TX","77081-1105","33747"
"Cook","29.701013","-95.5953399","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(832) 351-2794","6959 Cook Rd","Houston","TX","77072-2240","33748"
"Braeburn Elementary","29.7033069","-95.48875699999996","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 295-5210","7007 Rampart St","Houston","TX","77081-5813","33749"
"Sylvan Rodriguez Elementary","29.718799","-95.47808900000001","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 295-3870","5858 Chimney Rock Rd","Houston","TX","77081-2715","33750"
"Halpin Early Childhood Center","29.661918","-95.50248399999998","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 778-6720","10901 Sandpiper Dr","Houston","TX","77096-5717","33751"
"Albury","29.65825999999999","-95.49780599999997","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 777-8192","11125 Albury Dr","Houston","TX","77096-5708","33752"
"Martin Luther King Pre-K Center","29.6135544","-95.43596289999999","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 797-7900","3930 W Fuqua St","Houston","TX","77045-6302","33753"
"Fondren Elementary","29.628162","-95.49840999999998","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 726-3611","12405 Carlsbad St","Houston","TX","77085-1224","33754"
"Shearn Elementary","29.677458","-95.44084099999998","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 295-5236","9802 Stella Link Rd","Houston","TX","77025-4605","33755"
"KBC","29.62682809999999","-95.48971289999997","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 433-2956","6011 W Orem Dr","Houston","TX","77085-1273","33757"
"Bonham Elementary","29.687522","-95.51957800000002","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 778-3480","8302 Braes River Dr","Houston","TX","77074-4212","33758"
"Foerster Elementary","29.639418","-95.49849899999998","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 276-3604","14200 Fonmeadow Dr","Houston","TX","77035-5218","33759"
"McNamara Elementary","29.684371","-95.50451499999997","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 778-3420","8714 McAvoy Dr","Houston","TX","77074-7308","33760"
"Bell Elementary","29.643724","-95.54914099999996","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(281) 983-2800","12323 Shaftsbury Dr","Houston","TX","77031-3123","33761"
"Hiram Clarke","29.6135788","-95.43403699999999","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 491-6178","3810 W Fuqua St","Houston","TX","77045-6402","33762"
"Sharpview","29.6999083","-95.595755","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 669-5287","12280 Sharpview Dr","Houston","TX","77072-2331","33763"
"Gulfton Promise","29.708119","-95.496512","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","000","Head Start","Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 721-1547","6615 Rookin St","Houston","TX","77074-5015","33764"
