"Operation #","Agency Number","Operation/Caregiver Name","Address","City","State","Zip","County","Phone","Type","Status","Issue Date","Capacity","Email Address","Facility ID","Monitoring Frequency","Infant","Toddler","Preschool","School","Lat","Long"
"840992","","Woodlands School For Young Scholars","25162 GROGANS PARK DR ","THE WOODLANDS","TX","77380","MONTGOMERY","281-292-3690","Licensed Center - Child Care Program","Full Permit","2/9/2005","51","sakrzemien@aol.com","254528","","N","N","Y","Y","30.1271525858586","-95.4571664444444"
"1443586","","Woodlands Tree House Preschool  LLC","10240 TERRAMONT DR ","SPRING","TX","77382","MONTGOMERY","281-459-0052","Licensed Center - Child Care Program","Full Permit","9/24/2012","180","csanchez@woodlandstreehouse.com","1022108","","N","Y","Y","Y","34.017313","-84.3053649"
"539091","","Woodrow Logan Head Start EOAC","3510 LATIMER ST ","BELLMEAD","TX","76705","MCLENNAN","254-412-0313","Licensed Center - Child Care Program","Full Permit","3/2/1999","187","","157615","","N","Y","Y","Y","52.8930631","-1.4550592"
"148576","","Woods Chapel Baptist Early Childhood ED","2424 CALIFORNIA LN ","ARLINGTON","TX","76015","TARRANT","817-275-2972","Licensed Center - Child Care Program","Full Permit","2/6/1986","77","ecec@woodschapel.org","97365","","Y","Y","Y","N","40.3164208","-79.6738797"
"859099","","Woodson Young Scholars Academy","700 WASHINGTON LN ","ODESSA","TX","79761","ECTOR","432-337-7297","Licensed Center - Child Care Program","Full Permit","10/27/2006","55","woodsonacademy@yahoo.com","292528","","Y","Y","Y","Y","50.9895572","0.8598858"
"402924","1128","Woodway Extended Day Care-Clayton","6701 WOODWAY DR ","FORT WORTH","TX","76133","TARRANT","817-370-8602","Licensed Center - School Age Program","Full Permit","2/24/1991","40","backgroundchecks@claytonyes.org","117774","","N","N","Y","Y","29.7680165","-95.4520107"
"531320","","Wooldridge AISD","1412 NORSEMAN TER ","AUSTIN","TX","78758","TRAVIS","512-841-4288","Licensed Center - Child Care Program","Full Permit","1/14/1998","12","","151595","","Y","Y","Y","Y","30.3644749","-97.7091761028662"
"1483946","","Wooten YMCA","1403 DALE DR ","AUSTIN","TX","78757","TRAVIS","512-236-9622","Licensed Center - School Age Program","Full Permit","1/22/2013","80","programservices@austinymca.org","1073528","","N","N","N","Y","42.1603873046199","-80.0113347507545"
"1630577","","Word of Restoration International Church","7620 FM 521 RD ","ROSHARON","TX","77583","FORT BEND","281-431-5930","Licensed Center - School Age Program","Full Permit","8/2/2016","127","","1250954","","N","N","N","Y","29.5811142","-95.4318228"
"33868","","World Of Children","13726 ALMEDA RD ","HOUSTON","TX","77053","HARRIS","713-433-2465","Licensed Center - Child Care Program","Full Permit","8/18/1987","150","belinda.gar@hotmail.com","94571","","Y","Y","Y","Y","29.64291","-95.4079239"
"535582","","World of Color Development Center","780 PINCHBACK RD ","BEAUMONT","TX","77707","JEFFERSON","409-866-7164","Licensed Center - Child Care Program","Full Permit","5/8/2000","85","arlenecoleman50@yahoo.com","154880","","Y","Y","Y","Y","30.0688791818182","-94.1756005454545"
"1449247","","World of Imagination Academy","600 SPRINGMART BLVD STE 5","BROWNSVILLE","TX","78526","CAMERON","956-554-9897","Licensed Center - Child Care Program","Full Permit","6/6/2013","77","","1029108","","Y","Y","Y","Y","0","0"
"1553682","","World of Knowledge Early Learning Center","143 NW 36TH ST STE 2001","SAN ANTONIO","TX","78237","BEXAR","210-251-2780","Licensed Center - Child Care Program","Full Permit","11/19/2015","78","reyna_cristina@ymail.com","1163569","","Y","Y","Y","Y","0","0"
"958846","","World of Wisdom","17926 HIGHWAY 3 STE 104A","WEBSTER","TX","77598","HARRIS","281-557-2273","Licensed Center - Child Care Program","Full Permit","8/14/2009","29","worldofwisdom@live.com","433748","","Y","Y","Y","Y","0","0"
"830490","","World of Wonder Preschool","4503 MEADE RD ","PEARLAND","TX","77584","BRAZORIA","281-489-6622","Licensed Center - Child Care Program","Full Permit","12/1/2003","62","","231380","","N","Y","Y","Y","54.8729371","-2.9075247"
"875191","","World Victory Child Development Center","6230 DYER ST ","EL PASO","TX","79904","EL PASO","915-566-7474","Licensed Center - Child Care Program","Full Permit","1/10/2008","70","wvcchilddevelopment@yahoo.com","318806","","Y","Y","Y","Y","41.3265796","-72.9465392"
"1642408","","World Wide Childcare","14720 FM 529 RD ","HOUSTON","TX","77095","HARRIS","281-861-4958","Licensed Center - Child Care Program","Initial","12/16/2016","119","","1264637","","Y","Y","Y","Y","29.8790858","-95.6662268"
"1222946","","Worldwide Clinical Trials Child Development Center","8605 CROSS PARK DR ","AUSTIN","TX","78754","TRAVIS","512-615-2339","Licensed Center - Child Care Program","Full Permit","10/4/2010","49","","754232","","Y","Y","Y","Y","30.3415715","-97.6763449556202"
"868838","810","WOS, Inc.  D/B/A The Childrens Courtyard","708 W POLO RD ","GRAND PRAIRIE","TX","75052","DALLAS","972-263-9098","Licensed Center - Child Care Program","Full Permit","2/12/2007","167","polo@childrenscourtyard.com","310121","","Y","Y","Y","Y","32.6584681722331","-97.01489498661"
"1638713","","WP Academy Career Center","831 WILSON RD ","HUMBLE","TX","77338","HARRIS","832-517-5901","Licensed Center - School Age Program","Initial","11/3/2016","25","","1260488","","N","N","Y","Y","29.9880603611111","-95.2497043888889"
"1630816","","Write the Vision Learning Center","1911 N 16TH ST ","ORANGE","TX","77630","ORANGE","409-553-4024","Licensed Center - Child Care Program","Full Permit","12/13/2016","119","writethevisionlc@yahoo.com","1251229","","N","N","Y","Y","40.4363895550522","-86.8802234012419"
"1206166","","WSGBC Day Care Center","2525 E LAKE SHORE DR ","WACO","TX","76705","MCLENNAN","254-714-0727","Licensed Center - Child Care Program","Full Permit","8/26/2011","40","wsovereigngrace@aol.com","734869","","N","Y","Y","Y","41.4118416372567","-87.2210866808706"
"506153","1029","WTO I Crane Head Start","105 KATHERINE ","CRANE","TX","79731","CRANE","432-558-2094","Licensed Center - Child Care Program","Full Permit","5/25/1994","40","a.hernandez@gowto.org","134503","","N","N","Y","N","29.7536688979592","-95.0415073469388"
"60808","","Wylie Baptist Church CDC","6097 BUFFALO GAP RD ","ABILENE","TX","79606","TAYLOR","325-692-6381","Licensed Center - Child Care Program","Full Permit","1/1/1986","150","","95397","","Y","Y","Y","Y","32.3768408523275","-99.772889658114"
"863169","","Wylie United Methodist Church Learning Academy Preschool","1401 F M 1378 ","WYLIE","TX","75098","COLLIN","972-429-0801","Licensed Center - Child Care Program","Full Permit","1/19/2007","118","","300164","","N","Y","Y","Y","0","0"
"902253","","Xplor","3153 S STONEBRIDGE DR ","MCKINNEY","TX","75070","COLLIN","214-491-1680","Licensed Center - Child Care Program","Full Permit","1/29/2009","250","mckinney@XplorToday.com","363385","","Y","Y","Y","Y","-35.1352173","138.5447698"
"1627527","","Xplor","3153 S STONEBRIDGE DR ","MCKINNEY","TX","75070","COLLIN","214-491-1680","Licensed Center - Child Care Program","Full Permit","8/1/2016","250","mckinney@xplortoday.com","1246878","","Y","Y","Y","Y","-35.1352173","138.5447698"
"1627526","","Xplor","1020 N WATTERS RD ","ALLEN","TX","75013","COLLIN","972-747-1635","Licensed Center - Child Care Program","Initial","8/26/2016","261","allen@xplortoday.com","1246876","","Y","Y","Y","Y","33.1429176","-96.6783241"
"1627469","","Xplor","2525 E TRINITY MILLS RD ","CARROLLTON","TX","75006","DALLAS","972-418-1416","Licensed Center - Child Care Program","Full Permit","8/15/2016","255","trinitymills@xplortoday.com","1246799","","Y","Y","Y","Y","0","0"
"1627449","","Xplor","4660 FM 2281 ","LEWISVILLE","TX","75056","DENTON","972-300-1090","Licensed Center - Child Care Program","Full Permit","7/7/2016","262","castlehills@xplortoday.com","1246763","","Y","Y","Y","Y","33.003472","-96.9096899"
"1627439","","Xplor","3601 MEADOWVIEW DR ","CORINTH","TX","76210","DENTON","940-321-7900","Licensed Center - Child Care Program","Full Permit","7/19/2016","251","corinth@xplortoday.com","1246738","","Y","Y","Y","Y","40.370281","-86.883096"
"1627378","","Xplor","13900 SENDERA RANCH BLVD ","HASLET","TX","76052","TARRANT","817-439-1290","Licensed Center - Child Care Program","Full Permit","9/13/2016","251","senderaranch@xplortoday.com","1246637","","Y","Y","Y","Y","32.98405","-97.382805"
"1627372","","Xplor","8350 PARKWOOD HILL BLVD ","FORT WORTH","TX","76137","TARRANT","817-485-1300","Licensed Center - Child Care Program","Full Permit","8/16/2016","255","","1246630","","Y","Y","Y","Y","32.894105433433","-97.2656984201554"
"1022146","","Xplor","5915 LACROSSE AVE ","AUSTIN","TX","78739","TRAVIS","512-288-0061","Licensed Center - Child Care Program","Full Permit","1/22/2010","306","circlec@XplorToday.com","508968","","Y","Y","Y","Y","30.196704","-97.8971969"
"1627317","","Xplor","4601 HUFFINES BLVD ","FORT WORTH","TX","76135","TARRANT","817-237-2644","Licensed Center - Child Care Program","Full Permit","9/2/2016","251","marinecreek@xplortoday.com","1246527","","Y","Y","Y","Y","32.823927787234","-97.4073685319149"
"1627364","","Xplor","686 FM 1187 E ","CROWLEY","TX","76036","TARRANT","817-297-0990","Licensed Center - Child Care Program","Full Permit","7/1/2016","274","","1246610","","Y","Y","Y","Y","32.5798144407364","-97.3079009016755"
"1627319","","Xplor - Rhodes - Houston","21401 RHODES RD ","SPRING","TX","77388","HARRIS","281-353-2301","Licensed Center - Child Care Program","Initial","8/3/2016","285","","1246529","","Y","Y","Y","Y","41.6551788","-72.6816917"
"1628185","","Xplor Anderson Mill","9706 ANDERSON MILL RD ","AUSTIN","TX","78750","WILLIAMSON","512-249-0033","Licensed Center - Child Care Program","Full Permit","7/12/2016","251","andersonmill@XplorToday.com","1247693","","Y","Y","Y","Y","40.6049551","-80.2819546"
"1628186","","Xplor Crystal Falls","906 CRYSTAL FALLS PKWY ","LEANDER","TX","78641","WILLIAMSON","512-528-1826","Licensed Center - Child Care Program","Full Permit","8/2/2016","265","Crystalfalls@XplorToday.com","1247694","","Y","Y","Y","Y","30.5533503613299","-97.8545837537501"
"1628184","","Xplor Sam Bass","2700 SAM BASS RD ","ROUND ROCK","TX","78681","WILLIAMSON","512-310-2468","Licensed Center - Child Care Program","Full Permit","7/18/2016","275","","1247689","","Y","Y","Y","Y","30.5300847719298","-97.7192933333333"
"1629583","","Xplor- W Rayford","8615 W RAYFORD RD ","SPRING","TX","77389","HARRIS","281-516-0547","Licensed Center - Child Care Program","Initial","8/29/2016","251","","1249733","","Y","Y","Y","Y","30.1282704","-95.5143049"
"1628187","","Xplor-Georgetown-Austin","3310 WILLIAMS DR ","GEORGETOWN","TX","78628","WILLIAMSON","512-863-7036","Licensed Center - Child Care Program","Full Permit","10/12/2016","236","","1247696","","Y","Y","Y","Y","34.220771","-119.1538929"
"1544681","","Xtreme Kid Fit-Mt. Belvieu","7610 FM 3180 RD ","BAYTOWN","TX","77523","CHAMBERS","832-597-3343","Licensed Center - School Age Program","Full Permit","1/26/2015","60","Xtremekidfit.mtbelvieu@hotmail.com","1152245","","N","N","N","Y","29.8449823658537","-94.8563186585366"
"865470","","Xtreme KidFit, Inc.","211 S MAIN ST ","HIGHLANDS","TX","77562","HARRIS","281-426-7121","Licensed Center - School Age Program","Full Permit","2/26/2009","51","xtremekidfit@gmail.com","304416","","N","N","Y","Y","40.1303150612245","-75.5149012040816"
"1149649","","Y Early Learning Center","600 LEAL ST ","SAN ANTONIO","TX","78207","BEXAR","210-220-2565","Licensed Center - Child Care Program","Full Permit","2/18/2011","120","","665377","","Y","Y","Y","Y","29.4336789565217","-98.5093230869565"
